frame_idx,timestamp_seconds,class_name,direction,line_id,video_name
64,2.56,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
104,4.16,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
105,4.2,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
160,6.4,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
167,6.68,car,IN,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
182,7.28,car,IN,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
196,7.84,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
218,8.72,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
232,9.28,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
262,10.48,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
271,10.84,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
300,12.0,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
330,13.2,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
352,14.08,car,IN,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
360,14.4,car,IN,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
428,17.12,car,IN,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
439,17.56,car,OUT,mnd_61_79_main,BackVehcilesTraffic720p_61_79s.avi
